USER          PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
scottkellar 95070   ??    4.2 S    31T   0:00.02   0:00.02 /var/fo 95070 S    /var/folders/4v/r7dmc5gn00l0f70jj65h4w0c0000gn/T//hive-terminal-b20.VQeBV9/build-arm64/arm64-apple-macosx/debug/HiveTerminalB20Probe
            95070         0.4 S    31T   0:00.00   0:00.00         95070 S
            95070         0.2 S    31T   0:00.00   0:00.00         95070 S
            95070         0.0 S    31T   0:00.00   0:00.00         95070 S
            95070         0.9 S    31T   0:00.01   0:00.00         95070 S
            95070         0.0 S    31T   0:00.00   0:00.00         95070 S
            95070         0.0 S    31T   0:00.00   0:00.00         95070 S
            95070         0.9 S    31T   0:00.00   0:00.00         95070 S
            95070         0.0 S    31T   0:00.00   0:00.00         95070 S
            95070         0.0 S    54R   0:00.00   0:00.00         95070 S
            95070         0.0 S    31T   0:00.00   0:00.00         95070 S
            95070         0.0 S    31T   0:00.00   0:00.00         95070 S
